Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,0731","-1,4289","-3,7905","16,0817","15,0889","",""
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,5153","10,6124","21,5629","28,1258","47,9675","",""
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,5,"2,811","7,502","13,2683","18,3608","27,99","",""
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","2,0708","10,0998","24,3608","36,3462","","",""
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,8744","5,9068","10,9145","13,5703","20,6215","90,034","522,5373"
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,0495","6,4452","12,2547","15,2223","","",""
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,"3,3106","10,3203","20,5799","26,809","46,0688","",""
BLT,BULLS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"11,4695","12,0434","-1,5629","15,2979","82,2161","",""
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-6,7153","23,9804","207,7588","301,9392","195,0101","",""
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,Serbest Şemsiye Fonu,4,"4,3534","11,4773","11,1247","16,9415","35,6011","",""
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"1,00","-3,5085","-20,1042","-4,5854","-2,8789","",""
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,"3,7312","9,3446","14,5874","18,53","37,0654","",""
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5,"8,9473","13,7966","14,2896","17,1567","","",""
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"4,2156","12,222","1,5063","8,991","","",""
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2,"3,8447","11,7676","23,4338","30,0647","51,0889","",""
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"3,0866","8,7119","18,0836","22,2453","35,089","",""
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5,"3,9301","6,0983","13,3029","29,8112","47,235","",""
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,5612","10,6365","20,4676","27,1561","47,4653","",""
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-13,9743","-21,312","-30,0217","-29,8793","-36,8812","",""
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,4,"0,3785","5,2246","12,8663","24,4863","","",""
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,89","6,2879","11,8558","15,0934","","",""
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"2,0166","-2,4822","-21,7905","-5,6035","-3,8437","",""
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,Serbest Şemsiye Fonu,7,"4,6845","15,5229","39,0064","53,1412","","",""
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"0,9332","3,3733","7,4609","21,9146","23,0665","201,5728",""
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"8,3722","18,12","43,2702","34,7079","51,2423","275,3238",""
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"2,3456","7,5969","16,4083","20,4698","36,8799","",""
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,6,"8,3392","11,8784","52,2185","61,4649","","",""
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,673","-3,0249","-4,1932","8,5014","15,4113","",""
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"2,9527","20,191","","","","",""
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,Serbest Şemsiye Fonu,6,"-3,2758","-9,037","-8,7601","6,2707","8,0415","",""
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,5,"4,0894","1,1342","2,9183","25,0999","24,2023","40,17",""
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"5,2764","9,8337","6,5746","29,101","50,7326","",""
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,"5,7911","13,0404","22,5805","","","",""
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,2,"3,4663","10,7407","21,3731","28,5107","","",""
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,4,"-6,7167","21,5207","32,2459","","","",""
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-5,1748","-0,3968","1,1505","6,4826","-60,7923","-53,5735",""
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"3,3138","10,4758","44,9808","54,0508","85,6144","",""
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,2,"3,3463","10,3835","21,2174","28,6588","47,8081","290,2479",""
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","","",""
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,2,"3,4332","10,464","21,1437","27,7165","47,5772","",""
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,6,"2,7013","5,4796","11,7763","25,6554","34,9168","",""
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,5,"6,2419","9,5891","28,323","38,8177","63,0502","",""
CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"13,0264","9,485","20,9586","35,7943","46,5845","",""
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,0689","6,5391","10,8495","14,1112","24,0558","117,7435",""
CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,7965","5,2867","34,8604","67,1919","121,1554","",""
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,5,"5,8586","10,6105","44,1284","59,5283","91,634","",""
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,3,"3,2933","8,324","16,1774","25,5805","40,192","223,6613",""
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,4,"6,9092","10,5077","21,8387","34,8023","","",""
DA1,A1 CAPİTAL PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,5,"1,4907","5,0137","8,7403","11,343","","",""
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,9608","0,4842","-3,7898","20,4585","22,2213","113,0973","1139,2045"
DAP,DESTEK PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,2,"","","","","","",""
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,5,"1,9938","6,2151","11,5094","14,3566","21,6434","99,7006",""
DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"12,6563","4,6953","-5,5619","12,9456","55,5122","286,198","1208,7803"
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,"3,9265","10,7137","13,1466","17,4549","35,6717","157,5753","307,357"
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,6,"2,4055","7,9373","10,7516","14,5543","24,1918","150,7535","737,1764"
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,2892","10,0227","20,0365","26,2863","45,5461","233,1077","383,0533"
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"2,7113","6,5254","15,6963","25,8296","38,1382","185,5029","941,4562"
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,"3,2952","10,1196","20,5038","26,9463","46,4846","240,9638","394,7844"
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,3619","10,4754","21,1168","27,5542","47,2176","263,6215",""
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-1,1869","-4,0279","-18,7623","-2,8042","-6,7322","112,6539","946,4064"
