Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,13","1,13","45,83","1,65"
KIH,KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,4,4,0,"3,65"
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KIS,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Şemsiye Fonu,"1,25","1,25","20,28","3,65"
KKC,KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,5","0,5",0,"3,65"
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,"37,53","3,65"
KKL,ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,2,0,"54,76","3,65"
KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"1,5",0,"28,66",0
KLI,AK PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,"0,39",0,0,""
KLS,ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,3",0,"2,71","3,65"
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3","1,3",0,"1,65"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,"1,4","1,4",0,"3,65"
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,69",0,"55,38","2,19"
KMN,YAPI KREDİ PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,"1,8","1,8",0,"2,19"
KNI,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,3,0,0,""
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
KOD,YAPI KREDİ PORTFÖY KÜÇÜK ÖLÇEKLİ ŞİRKETLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"2,19"
KOT,AZİMUT PORTFÖY KOÇ TOPLULUĞU ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,05",0,"23,96","3,65"
KP3,KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,5","0,5",0,"3,65"
KPA,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75","2,75",0,"3,65"
KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,4","2,4",0,"3,65"
KPD,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,8","0,8",0,""
KPF,NEO PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"52,72",""
KPH,İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"16,58","3,65"
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3",0,"45,58","3,65"
KPP,KARE PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"1,09","1,09",0,"3,65"
KPU,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,2","2,2",0,"3,65"
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,46","1,46",0,"3,65"
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,19","2,19",0,"3,65"
KRR,İŞ PORTFÖY KARMA FON,Karma Şemsiye Fonu,"2,25",0,0,"3,65"
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"2,55","2,55",0,"3,65"
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,Serbest Şemsiye Fonu,"1,1","1,1",0,"3,65"
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"2,25","2,25","51,53",""
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,05",0,"46,69","1,65"
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
KST,ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,63",0,"27,21","3,65"
KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,4","1,4",0,""
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,63",0,"43,93","3,65"
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Şemsiye Fonu,"2,1","2,1",0,"3,65"
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"3,65"
KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,0,"3,65"
KTS,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,1","2,1",0,"3,65"
KTT,KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,6","0,6",0,"3,65"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"2,56"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,Katılım Şemsiye Fonu,"2,2","2,2",0,"3,65"
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,Değişken Şemsiye Fonu,"2,19","2,19",0,"3,65"
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Şemsiye Fonu,"1,8","1,8",0,"2,19"
KVK,HEDEF PORTFÖY KATILIM İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,0,"3,75",0,""
KVR,ATLAS PORTFÖY KISA VADELİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"1,2","1,2",0,""
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"0,38",0,"49,42",""
KVT,AK PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9","2,9","19,76","2,56"
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,92","2,92",0,"3,65"
KYS,KARE PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,5","0,5",0,"3,65"
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,3","0,3",0,"2,19"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"3,65"
LKF,İŞ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,9",0,0,"3,65"
LKT,AKTİF PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,5","1,5","44,22",0
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,"-54,81","3,65"
LPH,STATECH PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,5","3,5","65,63",0
LTL,AHLATCI PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,6","2,6",0,"3,65"
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,68","2,68","11,81","3,65"
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"10,48","3,65"
MAS,MARMARA CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,98","2,98","33,34",0
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"44,73","3,65"
MBR,MT PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,31",0,"54,88","1,65"
MCU,AZİMUT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,"35,02",""
MD1,MT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,36",0,"75,65","1,65"
MD2,MT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"3,1",0,"71,89","1,65"
MDF,FİBA PORTFÖY MODEL EMTİA FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,"3,5","3,5",0,0
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,0
MGB,İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,2",0,"23,38",""
MGH,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","35,40",""
MHF,MT PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,63",0,"80,53","1,65"
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,0,"41,94","1,65"
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,"85,37","1,65"
MJH,AKTİF PORTFÖY FORTUNA SERBEST FON,Serbest Şemsiye Fonu,"3,15","3,15","-13,35",0
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,53","0,53","20,11","1,65"
MKA,MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,68","2,68","16,15","3,65"
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,"1,5","1,5","54,19",0
MLT,DENİZ PORTFÖY MELTEM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,0,0
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,5","1,5","34,48","1,65"
MOZ,EMAA BLUE PORTFÖY MOZAİK SERBEST FON,Serbest Şemsiye Fonu,"2,4","2,4",0,""
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,05",0,0,"1,65"
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,46","1,46","44,10","1,65"
MPI,MEKSA PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,Serbest Şemsiye Fonu,2,2,"43,92","3,65"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,64","1,64","44,28",0
MPL,MT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,74",0,"48,65","1,65"
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,57","1,57","21,92","1,65"
MPP,MEKSA PORTFÖY PRİME SERBEST FON,Serbest Şemsiye Fonu,3,3,"17,98","3,65"
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,37","2,37","32,14",0
MRI,TEB PORTFÖY MERİDYEN SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","8,03",""
MT1,MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,79",0,"21,52","3,65"
MT2,MT PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,05",0,0,""
MTD,BV PORTFÖY MALZEME TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
MTF,MT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,15",0,"33,19","3,65"
MTG,DENİZ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOGUN FON),Serbest Şemsiye Fonu,2,2,"39,21",0
MTH,MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,73",0,"76,76","1,65"
MTK,MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,41",0,"56,76","1,65"
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,25",0,"25,06","1,65"
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,9","2,9","36,92","2,56"
MTX,TEB PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,75","2,75","31,52","1,65"
MUT,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","34,85",0
NAK,NEO PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,"1,8","1,8",0,"2,19"
NAU,NEO PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,8","1,8","49,04","3,65"
NBH,NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,"3,5","3,5","65,46",0
NBO,NEO PORTFÖY BORÇLANMA ARACI FONLARI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,5","1,5",0,"4,38"
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,5","1,5","22,49",0
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","22,95",0
NFF,NEO PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,"0,1","0,1",0,""
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,0,"3,65"
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9","2,9","28,31","3,65"
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"57,96","2,19"
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,85","1,85","50,44","2,19"
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","45,73","3,65"
NKA,NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"20,04",""
NKC,NEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,8","2,8","25,33","4,38"
NKM,NEO PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,8","2,8",0,"3,65"
NKP,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,25","2,25","12,30","3,65"
NKT,NUROL PORTFÖY BİRİNCİ KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75",0,0,0
NLE,NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75",0,"24,40","3,65"
NLK,NUROL PORTFÖY KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,"0,75","0,75","49,87","3,65"
NME,NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","20,37","3,65"
NMU,NUROL PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,4,0,0,0
NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,7","2,7","9,23","3,65"
NOI,TACİRLER PORTFÖY NOVA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"2,9","2,9","43,03",""
NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75",0,"2,83",0
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,9","2,9","15,30","3,65"
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"0,9","0,9","48,10","3,65"
NSA,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,"1,3","1,3","47,04",0
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,7","0,7","23,41",0
NSH,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,4,4,"44,48",0
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"3,5","3,5","44,72",0
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,7","0,7","46,88",0
NST,İŞ PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"16,63","3,65"
NSY,NEO PORTFÖY YEDİNCİ SERBEST FON,Serbest Şemsiye Fonu,"2,75","2,75",0,""
NTB,AZİMUT PORTFÖY AVŞAR HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"0,1",0,"19,98",""
NTI,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,25","2,25","59,64","3,65"
NUB,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","21,50",0
NUH,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,8","2,8",0,"4,38"
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,"1,3","1,3","47,63","3,65"
NVC,NEO PORTFÖY VENTO SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","12,02",0
NVK,INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"16,41","4,38"
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,2,2,"44,56",0
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,25","1,25","23,41",0
NZH,NEO PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,75","2,75","40,17","3,65"
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,2,2,"46,64",0
NZU,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","21,81",0
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,0,"35,43","1,65"
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,7",0,"35,13","1,65"
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,1,0,"37,23","1,65"
ODG,ONE PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,2,0,"56,69",0
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"0,8",0,"15,02","1,65"
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,95","1,95",0,"2,56"
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,25",0,"35,68","1,65"
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,5",0,"36,84","1,65"
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,75",0,"52,72","1,65"
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"27,05","1,65"
OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,0,"45,85","1,65"
OIL,OSMANLI PORTFÖY ALTIN FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,1","0,1","16,57","4,38"
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,1","0,1","44,10","2,19"
OJB,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"21,13","4,38"
OJK,QNB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,85","1,85","57,03","3,65"
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,95","2,95","60,69","3,65"
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,7",0,"38,46","1,65"
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,4","1,4","45,87","1,65"
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,5","1,5","45,99","1,65"
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,Serbest Şemsiye Fonu,"0,7","0,7","14,83",0
OLD,QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5","2,5","27,31","3,65"
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,1","0,1","48,62","2,19"
OMG,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"43,87","3,65"
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,05","3,05","25,63","1,65"
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,75",0,"20,42",""
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,"46,31","1,65"
