Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Fon,"2717969056,62","2802798712,12","3,12","624329086,00","622968507,00","-0,22","3,35"
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"48953826,47","0,00",-100,"35759812,00","0,00",-100,"-100,00"
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Para Piyasası Fonu,"3251928035,22","2075523873,85","-36,18","1335503361,00","824084961,00","-38,29","3,43"
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,Serbest Fon,"24433930,93","20958081,95","-14,23","14611657,00","12203424,00","-16,48","2,70"
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"701974690,98","676138078,96","-3,68","348831478,00","316252278,00","-9,34","6,24"
CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Fon,"692613882,14","717114420,71","3,54","496224322,00","454564301,00","-8,4","13,03"
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Fon,"5645212134,55","5536391775,76","-1,93","94377220,00","90681876,00","-3,92","2,07"
CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"1209324952,62","1066837470,87","-11,78","319727897,00","279827428,00","-12,48","0,80"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"1535881196,24","1653366045,56","7,65","417093592,00","424149199,00","1,69","5,86"
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"616922578,40","629608314,37","2,06","124226810,00","122739060,00","-1,2","3,29"
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"18834810,59","49425528,81","162,42","14179324,00","34804104,00","145,46","6,91"
DA1,A1 CAPİTAL PORTFÖY SERBEST (DÖVİZ) FON,Serbest Fon,"22439436,37","11175637,68","-50,2","465100,00","228234,00","-50,93","1,49"
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"618792208,20","584781995,56","-5,5","172999800,00","161935500,00","-6,4","0,96"
DAP,DESTEK PORTFÖY PARA PİYASASI FONU,Para Piyasası Fonu,"0,00","152196431,29",0,"0,00","149619864,00",0,"0,00"
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Fon,"114306283359,77","115228171430,49","0,81","2113430528,31","2088827723,31","-1,16","1,99"
DBA,DENİZ PORTFÖY ALTIN FONU,Altın Fonu,"9314737661,44","10128342680,49","8,73","13779500102,00","13299810689,00","-3,48","12,66"
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"250679337,14","230742972,52","-7,95","2301922613,72","2038800038,85","-11,43","3,93"
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"997905090,57","977120146,15","-2,08","2666887700,00","2550002900,00","-4,38","2,41"
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"738544436,55","811377494,37","9,86","6301437706,00","6702364406,00","6,36","3,29"
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"162309490,81","165008455,50","1,66","331952500,00","328564000,00","-1,02","2,71"
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"743795770,21","722727483,58","-2,83","5464752100,00","5140564300,00","-5,93","3,30"
